,h3,verzilting,bodemdaling,wateroverlast,boerenlandvogels,peilgebieden
0,89196949143ffff,0,0,0,1,0
1,89196948287ffff,0,0,0,0,0
2,891969498a7ffff,0,0,0,0,0
3,89196958d07ffff,0,0,0,1,0
4,8919694b33bffff,0,0,0,0,0
5,8919694a633ffff,1,1,1,0,0
6,8919694948bffff,0,0,0,0,0
7,8919694ac2bffff,0,0,0,0,0
8,8919694a253ffff,0,1,0,1,0
9,89196b868a7ffff,0,0,0,0,0
10,8919694f587ffff,0,0,0,1,0
11,8919694a3d7ffff,0,1,1,1,0
12,8919694a293ffff,0,1,1,1,0
13,8919694b3dbffff,0,0,0,0,0
14,89196948a4fffff,1,0,1,0,0
15,8919694b3cbffff,0,0,0,0,0
16,89196949e6bffff,0,1,1,0,0
17,89196958d23ffff,0,0,0,1,0
18,89196bb247bffff,0,0,0,0,0
19,8919694a933ffff,0,0,0,0,0
20,89196b86bafffff,0,0,0,0,0
21,89196949c97ffff,0,1,0,1,0
22,89196bb257bffff,0,0,0,0,0
23,8919694957bffff,0,0,0,0,0
24,8919694a687ffff,0,0,0,0,0
25,891969495a3ffff,0,0,0,0,0
26,8919694f467ffff,0,1,0,1,0
27,89196b84c97ffff,0,0,0,0,0
28,8919694b5abffff,0,1,0,1,0
29,89196bb2593ffff,0,0,0,0,0
30,89196949847ffff,0,1,0,1,0
31,89196bb2583ffff,0,0,0,0,0
32,8919694b36bffff,0,0,0,0,0
33,89196948413ffff,0,1,0,0,0
34,89196948337ffff,0,1,0,0,0
35,89196941e0bffff,0,0,0,0,0
36,89196948e1bffff,0,1,0,1,0
37,89196948187ffff,0,0,0,1,0
38,8919694b087ffff,0,0,0,1,0
39,89196941b77ffff,0,0,0,0,0
40,8919694a317ffff,0,1,0,1,0
41,8919694ad47ffff,0,0,0,0,0
42,89196bb3097ffff,0,0,0,0,0
43,89196bb3473ffff,0,0,0,0,0
44,89196bb2543ffff,0,0,0,0,0
45,89196bb26cbffff,0,0,0,0,0
46,8919694aadbffff,0,0,0,1,0
47,891969486bbffff,0,0,0,0,0
48,89196bb35c3ffff,0,0,0,0,0
49,89196941277ffff,0,0,0,0,1
50,89196b86d07ffff,0,0,1,0,0
51,89196948b57ffff,0,0,0,0,0
52,89196b86827ffff,0,0,0,0,0
53,89196b869c3ffff,0,0,0,0,0
54,89196bb25cbffff,0,0,0,0,0
55,8919694b413ffff,0,1,0,0,0
56,89196941a43ffff,0,0,0,0,0
57,8919694ac57ffff,0,0,0,1,0
58,8919694a557ffff,0,0,0,0,0
59,89196949cd7ffff,0,1,0,1,0
60,89196941b2bffff,0,0,0,1,0
61,89196941247ffff,0,0,0,0,1
62,8919694aa63ffff,0,0,0,0,0
63,8919694986fffff,0,0,0,1,0
64,89196949a1bffff,0,0,0,1,0
65,89196949d77ffff,0,1,0,1,0
66,89196948c5bffff,0,1,0,1,0
67,89196b84c7bffff,0,0,0,0,0
68,89196949d03ffff,0,1,1,1,0
69,8919694b1d7ffff,0,0,0,1,0
70,8919694acc3ffff,1,0,0,0,0
71,8919694d6c7ffff,0,0,1,0,0
72,891969485cbffff,0,0,0,1,0
73,89196949aa7ffff,1,0,0,1,0
74,8919694b38bffff,0,0,0,0,0
75,89196bb206fffff,0,0,0,0,0
76,8919694864bffff,0,0,0,0,0
77,8919694905bffff,0,0,0,0,0
78,89196949c73ffff,0,1,1,0,0
79,8919694a90bffff,0,0,0,0,0
80,8919694a877ffff,0,0,0,0,0
81,891969589bbffff,0,0,0,0,0
82,891969494b3ffff,0,0,0,0,0
83,891969494bbffff,0,0,0,0,0
84,89196bb26cfffff,0,0,0,0,0
85,8919694a927ffff,0,0,0,0,0
86,8919694804fffff,0,0,0,0,0
87,89196b8692bffff,0,0,0,0,0
88,89196958b67ffff,0,0,0,0,0
89,8919694835bffff,0,1,0,1,0
90,8919694a207ffff,0,1,0,1,0
91,89196b84803ffff,0,0,0,0,0
92,8919694a003ffff,1,1,1,1,0
93,89196b84807ffff,0,0,0,0,0
94,89196bb30a7ffff,0,0,0,0,0
95,89196959b6bffff,0,1,1,0,0
96,89196949b33ffff,0,0,0,1,0
97,89196949843ffff,0,1,0,1,0
98,89196941b47ffff,0,0,0,0,1
99,89196958b43ffff,0,0,0,0,0
100,89196948467ffff,0,0,0,1,0
101,8919694b62fffff,0,0,0,0,0
102,8919694b2b3ffff,0,0,1,0,0
103,891969413abffff,0,0,0,1,0
104,89196941ac3ffff,0,0,0,0,0
105,89196948447ffff,0,0,0,0,0
106,8919694a383ffff,0,1,0,0,0
107,89196bb25d7ffff,0,0,0,0,0
108,89196941a57ffff,0,0,0,0,0
109,89196948ba3ffff,0,0,0,0,0
110,8919694f5d3ffff,0,0,0,1,0
111,891969499dbffff,0,0,0,0,0
112,89196949b93ffff,1,0,0,1,0
113,89196bb235bffff,0,0,0,0,0
114,8919694f4abffff,0,0,0,1,0
115,8919694aa73ffff,0,0,0,0,0
116,89196949457ffff,0,0,0,0,0
117,89196b868cfffff,0,0,1,0,0
118,89196b86d67ffff,0,0,1,0,0
119,89196bb24cbffff,0,0,0,0,0
120,8919694813bffff,0,1,0,1,0
121,8919694854bffff,0,0,0,1,1
122,8919694a0d3ffff,1,1,1,0,0
123,89196948e53ffff,0,1,0,1,1
124,8919694a29bffff,0,1,1,1,0
125,8919694812bffff,0,1,0,1,0
126,8919694a203ffff,0,1,0,1,0
127,89196959947ffff,0,1,0,0,0
128,891969491b3ffff,0,0,0,0,0
129,89196b9692fffff,0,0,0,0,0
130,89196949c03ffff,0,0,0,0,0
131,89196948d13ffff,0,1,0,0,0
132,89196bb350bffff,0,0,0,0,0
133,8919694ad2bffff,0,0,0,0,0
134,8919694a51bffff,0,0,0,0,0
135,89196949557ffff,0,0,0,0,0
136,8919694a697ffff,0,0,0,0,0
